"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws"
"147","NRS18_RI_10001",41.83267059,-71.46914114,59,1713,0.424932615,114.9129,1270.838453,9.840265633,669.0618964,55.50635568,14.02015601,0.207524534
"148","NRS18_VA_10005",37.10205244,-81.04268,67,69051,0.334090909,127.7154,1063.98735,10.85498388,432.5023043,48.50742041,6.130863036,0.321849675
"149","NRS18_MD_10005",39.18863218,-76.85368602,64,8428,0.181481481,79.4556,1127.376555,12.78530144,374.8666576,52.84026551,4.061960265,0.322731072
"150","NRS18_OK_10921",34.40098478,-96.10731749,36,16873,0.343333333,6.1965,1094.640769,16.65435311,305,19.9966594,3.42,0.41
"151","NRS18_PA_10012",41.96989678,-76.51192148,60,22603,0.045618773,12762.6399,1079.460625,7.496557291,544.5127585,44.11257757,5.155820524,0.322110413
"152","NRS18_PA_10007",41.65698585,-78.6114885,62,57913,1.691666667,11.5281,1243.307227,6.782595658,675.4907487,42,11.79,0.270001561
"153","NRS18_VA_10002",37.59328278,-79.38320406,66,19490,0.163223734,7940.7873,1083.022533,11.23489992,431.7780508,44.28185047,11.55955919,0.285170924
"154","NRS18_CT_10002",41.89122923,-72.66210156,59,570,0.092113304,1532.4516,1287.1892,8.559862321,696.3567425,48.7062225,12.3677217,0.234074266
"155","NRS18_OK_10026",34.39116168,-94.50889924,36,24339,0.196602705,163.2222,1457.788811,15.59576326,654.9892919,20.23183427,4.887681051,0.360362763
"156","NRS18_IL_10031",37.25601672,-88.5102815,71,9946,0.136958427,55.728,1227.326272,13.86657143,385.7742248,14.48675711,3.465801034,0.396197351
"157","NRS18_NY_10018",42.06590504,-78.46921643,62,42656,0.031822,3025.2528,1102.49519,7.084078167,637.9154407,38.81232299,6.672819907,0.313610141
"158","NRS18_MD_10003",39.69016583,-76.93024368,64,24739,1.66,1.1097,1118.534556,12.04711195,453.6569343,56.15815085,3.99,0.32
"159","NRS18_PA_10023",41.99990242,-76.62263816,60,23583,0.055683628,6496.8516,925.1385851,7.63851793,376.4271414,36.79046989,4.951794544,0.327020361
"160","NRS18_CT_10017",41.35000044,-73.19197535,59,14231,0.442,3.0753,1304.438884,9.743315377,667,46.4278607,6.82,0.23
"161","NRS18_OK_10036",34.49566318,-94.4735322,36,24034,0.129573961,451.4067,1507.225155,15.48045643,654.2967982,21.2541256,6.466972305,0.354916172
"162","NRS18_CT_10004",41.78270426,-71.89588062,59,5595,0.278520499,1193.5728,1249.94909,8.969409915,686.8175686,51.81180704,12.21986676,0.217258119
"163","NRS18_MD_10014",38.99003699,-77.15981221,64,5109,0.722727273,51.3675,1073.951169,13.11069657,404.1082786,42.93040736,5.026096364,0.35
